"word","part_of_speech","definition","russian_definition","english_synonyms","russian_synonyms","example"
"conversely","adv","Looking at it from the opposite point of view","если посмотреть с противоположной стороны; вводит обратное утверждение","on the other hand, contrarily, inversely","наоборот, напротив, с другой стороны","My brother loves the cold; *conversely*, I want to live somewhere hot."
"arguably","adv","As can reasonably be claimed, though others may disagree","можно с основанием утверждать, хотя кто-то и поспорит","possibly, conceivably, debatably","пожалуй, можно утверждать, вероятно","He is *arguably* the best cook in the family, though my sister would disagree."
"notwithstanding","prep","In spite of something","несмотря на что-либо, вопреки обстоятельствам","despite, regardless of, even so","несмотря на, вопреки","*Notwithstanding* the rain, we still had a lovely walk by the river."
"albeit","conj","Although, even though (used to add a qualifying phrase)","хотя и, пусть и; вводит уточнение или оговорку","though, even if, while","хотя, пусть и, хоть и","The flat is lovely, *albeit* a little small for two people."
"a blessing in disguise","idiom","Something that seems bad at first but turns out to be good","то, что сначала кажется неудачей, но оборачивается благом","a hidden benefit, a lucky setback","скрытое благо, все к лучшему, нет худа без добра","Missing that train was *a blessing in disguise*; I met my wife on the next one."
"inherently","adv","As a basic, permanent quality that cannot be separated out","в силу самой природы вещи, неотделимо от нее","intrinsically, fundamentally, innately","по своей сути, изначально, органически","Dogs are not *inherently* dangerous; it depends on how they are raised."
"predominantly","adv","Mainly, for the most part","по большей части, в подавляющем большинстве случаев","mostly, largely, chiefly","преимущественно, главным образом, в основном","The audience was *predominantly* young, with only a few older people."
"invariably","adv","Always, without a single exception","всегда, без единого исключения","consistently, unfailingly, every time","неизменно, всегда, постоянно","Whenever I wash the car, it *invariably* rains the next day."
"inadvertently","adv","Without meaning to; by accident","не желая того, по недосмотру","accidentally, unintentionally, unwittingly","непреднамеренно, случайно, ненароком","I *inadvertently* deleted the photos while clearing space on my phone."
"the tip of the iceberg","idiom","The small visible part of a much bigger problem","лишь малая видимая часть гораздо большей проблемы","just the start, the visible part","верхушка айсберга, только начало, малая часть","The broken window was just *the tip of the iceberg*; the whole house needed work."
"paradoxically","adv","In a way that seems contradictory but is nonetheless true","как ни странно: вопреки ожиданиям, но это правда","ironically, contradictorily, oddly enough","парадоксальным образом, как ни странно","*Paradoxically*, the more I rush in the morning, the later I leave."
"akin to","phrase","Similar to; of the same nature as","близкий по своей природе, сравнимый с чем-то","similar to, comparable to, close to","сродни, подобно, схоже с","Talking to him is *akin to* talking to a wall: nothing gets through."
"ubiquitous","adj","Found everywhere; seemingly present in all places at once","встречающийся буквально везде и одновременно","omnipresent, pervasive, widespread","вездесущий, повсеместный","Coffee shops are so *ubiquitous* now that there is one on every corner."
"prevalent","adj","Common and widespread in a particular place or time","широко распространенный в данном месте или в данное время","widespread, rife, commonplace","распространенный, преобладающий, повсеместный","Colds are more *prevalent* in winter, when everyone stays indoors."
"a double-edged sword","idiom","Something with a good side and a bad side at once","то, у чего есть и хорошая, и плохая сторона","a mixed blessing, it cuts both ways","палка о двух концах, неоднозначная вещь, есть и минусы","Working from home is *a double-edged sword*: more time, but less company."
"detrimental","adj","Causing harm or damage","наносящий вред, ухудшающий положение","damaging, harmful, adverse","вредный, пагубный, губительный","Going to bed at three in the morning is *detrimental* to your health."
"negligible","adj","So small or unimportant that it can be ignored","настолько малый, что им можно пренебречь","insignificant, minimal, trivial","незначительный, ничтожный, пренебрежимо малый","The price went up by one penny, so the difference is *negligible*."
"substantial","adj","Large in size, value, or importance","значительный по размеру, ценности или важности","considerable, significant, sizeable","существенный, значительный, немалый","They gave us a *substantial* discount, nearly half the normal price."
"viable","adj","Capable of working successfully in practice","способный работать на практике, реально осуществимый","feasible, workable, practicable","жизнеспособный, осуществимый, реальный","Cycling to work is only *viable* if there is somewhere safe to leave the bike."
"cut corners","idiom","To do something cheaply or quickly, and badly as a result","делать наспех и небрежно, экономя на качестве","skimp, do it on the cheap","делать спустя рукава, халтурить, экономить на качестве","They *cut corners* on the building, and the roof leaked within a year."
"sustainable","adj","Able to continue over time without exhausting resources","способный продолжаться долго, не истощая ресурсы","enduring, renewable, long-term","устойчивый, экологичный, рациональный","Working sixty hours a week is not *sustainable* for very long."
"pragmatic","adj","Dealing with things practically rather than theoretically","исходящий из практической пользы, а не из теории","practical, realistic, level-headed","прагматичный, практичный, здравомыслящий","He took a *pragmatic* approach: fix what we can afford now, the rest next year."
"compelling","adj","So convincing or gripping that it demands attention","настолько убедительный, что трудно не согласиться или оторваться","persuasive, cogent, gripping","убедительный, веский, захватывающий","The film was so *compelling* that I watched the whole thing in one sitting."
"plausible","adj","Seeming reasonable or likely to be true","выглядящий разумным и правдоподобным, но не доказанный","credible, believable, convincing","правдоподобный, убедительный, вероятный","His excuse sounded *plausible*, but I later found out none of it was true."
"bite the bullet","idiom","To make yourself do something unpleasant that you cannot avoid","решиться и сделать неприятное дело","grit your teeth, get it over with","стиснуть зубы, взять себя в руки, решиться наконец","I finally *bit the bullet* and booked the dentist."
"ambiguous","adj","Open to more than one interpretation; unclear","допускающий несколько толкований, неясный","equivocal, vague, open-ended","двусмысленный, неоднозначный, расплывчатый","Her answer was *ambiguous*, so I still do not know if she is coming."
"disproportionate","adj","Too large or too small in relation to something else","слишком большой или малый по сравнению с чем-то","excessive, unbalanced, uneven","непропорциональный, чрезмерный, несоразмерный","He got a *disproportionate* punishment: grounded for a month for being ten minutes late."
"disparate","adj","Very different from one another, and hard to compare","совершенно разные по своей природе, несопоставимые","contrasting, dissimilar, unrelated","несопоставимые, разнородные, совсем разные","The team came from *disparate* backgrounds: a farmer, a lawyer and a DJ."
"unprecedented","adj","Never having happened or existed before","не имеющий примеров в прошлом","unparalleled, unheard-of, groundbreaking","беспрецедентный, небывалый, невиданный","The heat last summer was *unprecedented*; nobody could remember anything like it."
"robust","adj","Strong and able to withstand pressure or criticism","прочный, выдерживающий нагрузку и критику","sturdy, resilient, sound","надежный, крепкий, устойчивый","These boots are *robust* enough to survive years of walking in the hills."
"get the hang of","idiom","To learn how to do something after some practice","научиться чему-то с практикой, приноровиться","get used to, pick it up","приноровиться, освоиться, набить руку","Driving felt impossible at first, but I *got the hang of* it in a month."
